genre,inner_sim,Avant-Garde,Blues,Children's,Classical,Comedy/Spoken,Country,Easy Listening,Electronic,Folk,International,Jazz,Latin,New Age,Pop/Rock,R&B;,Reggae,Religious,Stage & Screen,Vocal
Avant-Garde,0.16478142637302856,1.0,0.21280657968433025,0.17936863027052677,0.38814626800218965,0.10929527751309537,0.1885469471536585,0.3004482851106907,0.1983139661304107,0.24225804200054046,0.24295737192899103,0.36530068029260754,0.18822776942112016,0.4432453327037461,0.1816248661625843,0.1859243123974223,0.16396641945437762,0.2009748672688025,0.30544454852391095,0.23533084756747127
Blues,0.27737714861729607,0.21280657968433025,1.0,0.4104271059894585,0.18753590603329456,0.1215674872285743,0.5164640738903898,0.2750963890961205,0.30206694170708254,0.41636571580534204,0.571307493117762,0.31845344843639856,0.5143459153853064,0.18075686570950886,0.34279458408521674,0.43392262906565465,0.3146984022150214,0.34569781356441887,0.2133234542020142,0.34766493142942334
Children's,0.3047489280731363,0.17936863027052677,0.4104271059894585,1.0,0.16877998583166084,0.12637685839901971,0.3753359033726711,0.23562910837552178,0.22582420826501762,0.34864352577165,0.3388260283928978,0.23931836579439986,0.3522778261993265,0.15652345251784525,0.2619498350238738,0.31320531108948024,0.28031357568317267,0.2695167592027891,0.19182939397557136,0.32947394559819576
Classical,0.2399255831941733,0.38814626800218965,0.18753590603329456,0.16877998583166084,1.0,0.10761508531111798,0.17064948952339987,0.2864866061651749,0.16664246164447213,0.23027911485778518,0.20563691009895202,0.2661340298716177,0.16508213126782245,0.39257686231951416,0.16294505142983146,0.162390383502209,0.14315497346618114,0.18186237671461938,0.3726647165801665,0.2384764860188013
Comedy/Spoken,0.1413939739821184,0.10929527751309537,0.1215674872285743,0.12637685839901971,0.10761508531111798,1.0,0.11710049897405332,0.11440398386435927,0.12002283058501483,0.12040071239826639,0.1236854315364221,0.11734105088791884,0.1195990871170342,0.10449895610628106,0.11883435596052822,0.12167810705330763,0.12901165642981335,0.12411879260361618,0.11085305948021053,0.12343311275888752
Country,0.3130186217304734,0.1885469471536585,0.5164640738903898,0.3753359033726711,0.17064948952339987,0.11710049897405332,1.0,0.24883608909821392,0.30051544915939166,0.3430454552678436,0.4091450111667931,0.2618204575581579,0.5266012323174,0.16447272149785616,0.41205817001648576,0.44828623880067553,0.3074973364606927,0.3665902536880931,0.19699630447591887,0.3038278271464647
Easy Listening,0.2973071717109612,0.3004482851106907,0.2750963890961205,0.23562910837552178,0.2864866061651749,0.11440398386435927,0.24883608909821392,1.0,0.23468740481847497,0.315201347350468,0.29381945379494306,0.36307345964121135,0.23542603345377047,0.2718887457414,0.23215277305260928,0.22373652345482614,0.19080018874335303,0.23922157583496576,0.41692148045114924,0.30919879090390096
Electronic,0.23111605849867778,0.1983139661304107,0.30206694170708254,0.22582420826501762,0.16664246164447213,0.12002283058501483,0.30051544915939166,0.23468740481847497,1.0,0.2322901109156636,0.32531762518941254,0.2796668984450976,0.3492125203701958,0.17846217770922174,0.39582029459821544,0.37675409148318345,0.3039543536061767,0.31860069699704363,0.1925029037005141,0.21871872701461278
Folk,0.2866581788026226,0.24225804200054046,0.41636571580534204,0.34864352577165,0.23027911485778518,0.12040071239826639,0.3430454552678436,0.315201347350468,0.2322901109156636,1.0,0.41168821052459964,0.32489820402103464,0.30469715651761936,0.20262638870968344,0.26118827240594045,0.2837539789564713,0.22892069666620057,0.29448930247814775,0.25691870901152203,0.5472102427427874
International,0.23585797570444778,0.24295737192899103,0.571307493117762,0.3388260283928978,0.20563691009895202,0.1236854315364221,0.4091450111667931,0.29381945379494306,0.32531762518941254,0.41168821052459964,1.0,0.3903456029686101,0.4370168392702795,0.20097920194379904,0.3335074057271131,0.41379086877763566,0.2989453191072093,0.3721117133300931,0.22981023991934724,0.3555563272702788
Jazz,0.24292187623767203,0.36530068029260754,0.31845344843639856,0.23931836579439986,0.2661340298716177,0.11734105088791884,0.2618204575581579,0.36307345964121135,0.2796668984450976,0.32489820402103464,0.3903456029686101,1.0,0.2725368694713021,0.2822624050763773,0.24667092921325703,0.26552118505233124,0.22123461376206063,0.26915613443024666,0.28779179600347277,0.29926190520132123
Latin,0.27900178198136283,0.18822776942112016,0.5143459153853064,0.3522778261993265,0.16508213126782245,0.1195990871170342,0.5266012323174,0.23542603345377047,0.3492125203701958,0.30469715651761936,0.4370168392702795,0.2725368694713021,1.0,0.1639165866445274,0.40443569146423064,0.647071779779674,0.38194202552438933,0.35358064039011844,0.18848183857647394,0.2750616682215434
New Age,0.21584005646588808,0.4432453327037461,0.18075686570950886,0.15652345251784525,0.39257686231951416,0.10449895610628106,0.16447272149785616,0.2718887457414,0.17846217770922174,0.20262638870968344,0.20097920194379904,0.2822624050763773,0.1639165866445274,1.0,0.1645448565985401,0.16238757587696045,0.14391919589461785,0.17834613597872506,0.3185803283156594,0.20257899368529417
Pop/Rock,0.26941926418550816,0.1816248661625843,0.34279458408521674,0.2619498350238738,0.16294505142983146,0.11883435596052822,0.41205817001648576,0.23215277305260928,0.39582029459821544,0.26118827240594045,0.3335074057271131,0.24667092921325703,0.40443569146423064,0.1645448565985401,1.0,0.4207044908486749,0.28633320994016265,0.4305858058186598,0.1909407101252235,0.24764654067084005
R&B;,0.27624554801047363,0.1859243123974223,0.43392262906565465,0.31320531108948024,0.162390383502209,0.12167810705330763,0.44828623880067553,0.22373652345482614,0.37675409148318345,0.2837539789564713,0.41379086877763566,0.26552118505233124,0.647071779779674,0.16238757587696045,0.4207044908486749,1.0,0.40528520301441345,0.37114949692058286,0.18398356958123188,0.2619123886855385
Reggae,0.26775154364348486,0.16396641945437762,0.3146984022150214,0.28031357568317267,0.14315497346618114,0.12901165642981335,0.3074973364606927,0.19080018874335303,0.3039543536061767,0.22892069666620057,0.2989453191072093,0.22123461376206063,0.38194202552438933,0.14391919589461785,0.28633320994016265,0.40528520301441345,1.0,0.25285971762788184,0.15940160579374862,0.21156409129270137
Religious,0.2593438123285867,0.2009748672688025,0.34569781356441887,0.2695167592027891,0.18186237671461938,0.12411879260361618,0.3665902536880931,0.23922157583496576,0.31860069699704363,0.29448930247814775,0.3721117133300931,0.26915613443024666,0.35358064039011844,0.17834613597872506,0.4305858058186598,0.37114949692058286,0.25285971762788184,1.0,0.2040365716219701,0.29400720097348826
Stage & Screen,0.2552482779331645,0.30544454852391095,0.2133234542020142,0.19182939397557136,0.3726647165801665,0.11085305948021053,0.19699630447591887,0.41692148045114924,0.1925029037005141,0.25691870901152203,0.22981023991934724,0.28779179600347277,0.18848183857647394,0.3185803283156594,0.1909407101252235,0.18398356958123188,0.15940160579374862,0.2040365716219701,1.0,0.2711005848943485
Vocal,0.29409299227668656,0.23533084756747127,0.34766493142942334,0.32947394559819576,0.2384764860188013,0.12343311275888752,0.3038278271464647,0.30919879090390096,0.21871872701461278,0.5472102427427874,0.3555563272702788,0.29926190520132123,0.2750616682215434,0.20257899368529417,0.24764654067084005,0.2619123886855385,0.21156409129270137,0.29400720097348826,0.2711005848943485,1.0
